ID_CCAA;CCAA;Sector;31/12/2018;31/12/2017;31/12/2016;31/12/2015;31/12/2014;31/12/2013;31/12/2012;31/12/2011;31/12/2010
6;CANTABRIA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2589537;2521296;2415437;2359385;2293218;2310956;2359417;2445409;2455548
6;CANTABRIA;Información y comunicaciones;294408;286261;283277;278699;279323;285945;289750;302719;320011
6;CANTABRIA;Actividades financieras y de seguros;418724;398526;384147;379143;367770;342827;389458;398856;429866
6;CANTABRIA;Actividades inmobiliarias;1398527;1377789;1373374;1371087;1398960;1399699;1361446;1311080;1226503
6;CANTABRIA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;755291;702085;664206;631188;572323;574133;562861;592212;590946
6;CANTABRIA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2335903;2238240;2214099;2152550;2092165;2086878;2061685;2137888;2166105
6;CANTABRIA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;541111;546174;532319;517004;484592;495075;510187;527953;533715
7;CASTILLA Y LEÓN;Agricultura, ganadería, silvicultura y pesca;2916757;2614313;2668273;2302330;2077556;2413943;2422845;2488598;2584945
7;CASTILLA Y LEÓN;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;11460909;11270947;10950521;10587071;10482348;10308821;10796289;11097656;10961019
7;CASTILLA Y LEÓN;Industria manufacturera;8892456;8711547;8443863;8005292;7960392;7665107;7884591;8271484;8223966
7;CASTILLA Y LEÓN;Construcción;3737447;3409888;3146848;3012167;2888899;2942731;3572465;4003519;4582546
7;CASTILLA Y LEÓN;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;10826626;10671866;10306205;9820322;9425917;9297375;9752806;9997320;9745549
7;CASTILLA Y LEÓN;Información y comunicaciones;1004191;985880;975455;958514;948470;997591;1033205;1089834;1129197
7;CASTILLA Y LEÓN;Actividades financieras y de seguros;2057661;1964977;1900201;1880072;1812415;1709582;1943110;2000648;2179726
7;CASTILLA Y LEÓN;Actividades inmobiliarias;4648864;4602137;4608182;4589067;4685421;4722865;4606794;4456954;4217624
7;CASTILLA Y LEÓN;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2797365;2613676;2460892;2499028;2304225;2302552;2334196;2473672;2341588
7;CASTILLA Y LEÓN;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;11930651;11549613;11258883;11108498;10846221;10871073;10775932;11146485;11317584
7;CASTILLA Y LEÓN;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;1826968;1833402;1808491;1817392;1748073;1735644;1801284;1861121;1821024
8;CASTILLA-LA MANCHA;Agricultura, ganadería, silvicultura y pesca;3442962;3308032;3215452;2707453;2144543;2843633;2637439;2241119;2300390
8;CASTILLA-LA MANCHA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;8196819;8040104;7570098;7440524;7169754;7462234;7662763;7789445;7226701
8;CASTILLA-LA MANCHA;Industria manufacturera;6246250;6144998;5811205;5649162;5352739;5433613;5517924;5797155;5443501
8;CASTILLA-LA MANCHA;Construcción;2994661;2684375;2528865;2316638;2206306;2284255;2804665;3322836;4032910
8;CASTILLA-LA MANCHA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;7257355;6982119;6659019;6478422;6267958;6017784;6384448;6387965;6380599
8;CASTILLA-LA MANCHA;Información y comunicaciones;694592;678463;669374;657788;686356;714945;722748;765793;794513
8;CASTILLA-LA MANCHA;Actividades financieras y de seguros;1321755;1245095;1199446;1181703;1151714;1074308;1214788;1247329;1323940
8;CASTILLA-LA MANCHA;Actividades inmobiliarias;3435686;3388863;3386546;3386544;3467219;3491954;3418837;3315017;3138379
8;CASTILLA-LA MANCHA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;1444378;1346137;1269623;1261979;1199618;1189695;1133812;1235530;1259240
8;CASTILLA-LA MANCHA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;7860148;7584694;7403741;7308775;7093006;7122997;7250221;8118508;8271940
8;CASTILLA-LA MANCHA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;1279534;1279831;1247669;1233069;1162324;1170118;1181312;1210142;1198691
9;CATALUÑA;Agricultura, ganadería, silvicultura y pesca;2175294;2190454;2104778;2024680;2072641;2121383;1989191;2111751;2238460
9;CATALUÑA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;45476821;44703427;41844364;39607838;37640766;36644535;36381338;37917917;38933793
9;CATALUÑA;Industria manufacturera;39462505;38673979;36298125;34132456;32444079;30828760;30548051;32036676;32628566
9;CATALUÑA;Construcción;11814768;10967225;9932244;9097644;8714870;8899483;10246049;12174885;14301827
9;CATALUÑA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;51488854;50383748;48046240;46041380;44206955;43658224;44485090;44650879;44371327
9;CATALUÑA;Información y comunicaciones;8232567;7950631;7698805;7401038;7152742;7160105;7371379;7532849;7653829
9;CATALUÑA;Actividades financieras y de seguros;7856698;7571111;7318943;7193763;7038018;6528312;7366798;7628612;8120956
9;CATALUÑA;Actividades inmobiliarias;24100169;23604085;23248963;22846810;23167229;23204384;22724732;21864905;20453384
9;CATALUÑA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;19392596;18019722;16997609;16660732;15159070;13956114;13962563;14844478;14664856
9;CATALUÑA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;31041797;29937973;29214507;27871222;26717722;26872628;27221928;27717399;27910761
9;CATALUÑA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;7640573;7754774;7655153;7578586;7115118;7138197;7364622;7528197;7557431
10;COMUNIDAD VALENCIANA;Agricultura, ganadería, silvicultura y pesca;2330334;2259257;2164997;2233883;2352374;2025406;1960198;1992180;2084300
10;COMUNIDAD VALENCIANA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;19643302;19327623;18185709;17436658;16603912;16020325;15796243;16631023;16261288
10;COMUNIDAD VALENCIANA;Industria manufacturera;16025888;15839972;14829032;14228407;13575059;12974636;12685700;13558192;13150609
10;COMUNIDAD VALENCIANA;Construcción;7889851;7197782;6422562;5982812;5647264;5653789;6815381;7810831;9682957
10;COMUNIDAD VALENCIANA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;24765240;24387158;23175193;22217013;21281561;20841491;21359498;22271770;22104372
10;COMUNIDAD VALENCIANA;Información y comunicaciones;2375389;2300217;2277238;2215520;2194803;2272020;2309196;2425505;2513905
10;COMUNIDAD VALENCIANA;Actividades financieras y de seguros;3870032;3590834;3439275;3379616;3310958;3078055;3523867;3680589;3997403
10;COMUNIDAD VALENCIANA;Actividades inmobiliarias;12356179;12167601;12100385;11991610;12303630;12450503;12169009;11827877;11122318
10;COMUNIDAD VALENCIANA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;6359746;5921206;5633317;5508474;5020773;4821323;4886547;5272096;5357841
10;COMUNIDAD VALENCIANA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;17625934;17150396;17025992;16476456;16000984;15866755;15645127;16511142;16568858
10;COMUNIDAD VALENCIANA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;4217871;4191880;4086648;4065142;3840624;3861363;4011929;4088862;4020844
11;EXTREMADURA;Agricultura, ganadería, silvicultura y pesca;1506836;1513895;1456454;1301807;1053602;976949;982316;1036165;1083894
11;EXTREMADURA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;2544923;2483845;2299512;2229628;2179576;2263062;2217196;2211919;2110368
11;EXTREMADURA;Industria manufacturera;1395412;1347642;1224296;1126528;1107616;1148218;1229046;1278583;1241113
11;EXTREMADURA;Construcción;1378589;1269942;1227317;1189735;1131891;1149526;1377127;1642054;1968227
11;EXTREMADURA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;3271065;3186962;2951761;2749819;2622245;2701186;2738320;2784433;2806199
11;EXTREMADURA;Información y comunicaciones;318549;311319;309601;297324;300046;327252;336753;369154;391206
11;EXTREMADURA;Actividades financieras y de seguros;651576;625441;607711;597396;576062;548746;610480;611615;665547
11;EXTREMADURA;Actividades inmobiliarias;1715811;1705847;1703768;1695558;1724026;1734813;1702820;1644439;1564091
11;EXTREMADURA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;745223;692496;657718;668305;612300;611288;607111;658667;663467
11;EXTREMADURA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;4770722;4643236;4602350;4555296;4418676;4399408;4296310;4562755;4646807
11;EXTREMADURA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;643566;647270;633597;614379;585712;596676;615020;619576;609277
12;GALICIA;Agricultura, ganadería, silvicultura y pesca;3010503;3207480;2958502;2890032;2858358;2680077;2513657;2500782;2501821
12;GALICIA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;11633495;11067580;10250357;10136363;9653006;10049936;9893458;10356065;10421849
12;GALICIA;Industria manufacturera;8922676;8521970;7824125;7625140;7313675;7374220;7366410;7907072;8005983
12;GALICIA;Construcción;4348931;3953871;3796321;3602300;3468476;3477205;4071026;4584166;5403221
12;GALICIA;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;13438713;13127253;12514084;11853359;11160853;10874376;11109221;11242386;11336746
12;GALICIA;Información y comunicaciones;1363121;1336791;1295819;1247378;1259165;1293691;1363541;1404689;1485475
12;GALICIA;Actividades financieras y de seguros;2026733;1891853;1816208;1774713;1733735;1628856;1814322;1893940;2054688
12;GALICIA;Actividades inmobiliarias;4841807;4765641;4742751;4671701;4721131;4714406;4595961;4425574;4137665
12;GALICIA;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;3613109;3383319;3202259;3053478;2739586;2642843;2546141;2720631;2548776
12;GALICIA;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;10572381;10158126;10019283;9888644;9705633;9753569;9720413;10200941;10378573
